Year	Month	treering	D13C
1981	July	-9999	-9999
1981	Aug	-9999	-9999
1981	Sep	-9999	-9999
1981	Oct	-9999	-9999
1981	Nov	-9999	-9999
1981	Dec	-9999	-9999
1982	Jan	-9999	-9999
1982	Feb	-9999	-9999
1982	March	-9999	-9999
1982	April	-9999	-9999
1982	May	-9999	-9999
1982	June	-9999	-9999
1982	July	-9999	-9999
1982	Aug	-9999	-9999
1982	Sep	-9999	-9999
1982	Oct	-9999	-9999
1982	Nov	-9999	-9999
1982	Dec	-9999	-9999
1983	Jan	-9999	-9999
1983	Feb	-9999	-9999
1983	March	-9999	-9999
1983	April	-9999	-9999
1983	May	-9999	-9999
1983	June	-9999	-9999
1983	July	-9999	-9999
1983	Aug	-9999	-9999
1983	Sep	-9999	-9999
1983	Oct	-9999	-9999
1983	Nov	-9999	-9999
1983	Dec	-9999	-9999
1984	Jan	-9999	-9999
1984	Feb	-9999	-9999
1984	March	-9999	-9999
1984	April	-9999	-9999
1984	May	-9999	-9999
1984	June	-9999	-9999
1984	July	-9999	-9999
1984	Aug	-9999	-9999
1984	Sep	-9999	-9999
1984	Oct	-9999	-9999
1984	Nov	-9999	-9999
1984	Dec	-9999	-9999
1985	Jan	-9999	-9999
1985	Feb	-9999	-9999
1985	March	-9999	-9999
1985	April	-9999	-9999
1985	May	-9999	-9999
1985	June	-9999	-9999
1985	July	-9999	-9999
1985	Aug	-9999	-9999
1985	Sep	-9999	-9999
1985	Oct	-9999	-9999
1985	Nov	-9999	-9999
1985	Dec	-9999	-9999
1986	Jan	-9999	-9999
1986	Feb	-9999	-9999
1986	March	-9999	-9999
1986	April	-9999	-9999
1986	May	-9999	-9999
1986	June	-9999	-9999
1986	July	-9999	-9999
1986	Aug	-9999	-9999
1986	Sep	-9999	-9999
1986	Oct	-9999	-9999
1986	Nov	-9999	-9999
1986	Dec	-9999	-9999
1987	Jan	-9999	-9999
1987	Feb	-9999	-9999
1987	March	-9999	-9999
1987	April	-9999	-9999
1987	May	-9999	-9999
1987	June	-9999	-9999
1987	July	-9999	-9999
1987	Aug	-9999	-9999
1987	Sep	-9999	-9999
1987	Oct	-9999	-9999
1987	Nov	-9999	-9999
1987	Dec	-9999	-9999
1988	Jan	-9999	-9999
1988	Feb	-9999	-9999
1988	March	-9999	-9999
1988	April	-9999	-9999
1988	May	-9999	-9999
1988	June	-9999	-9999
1988	July	-9999	-9999
1988	Aug	-9999	-9999
1988	Sep	-9999	-9999
1988	Oct	-9999	-9999
1988	Nov	-9999	-9999
1988	Dec	-9999	-9999
1989	Jan	-9999	-9999
1989	Feb	-9999	-9999
1989	March	-9999	-9999
1989	April	-9999	-9999
1989	May	-9999	-9999
1989	June	-9999	-9999
1989	July	-9999	-9999
1989	Aug	-9999	-9999
1989	Sep	-9999	-9999
1989	Oct	-9999	-9999
1989	Nov	-9999	-9999
1989	Dec	-9999	-9999
1990	Jan	-9999	-9999
1990	Feb	-9999	-9999
1990	March	-9999	-9999
1990	April	-9999	-9999
1990	May	-9999	-9999
1990	June	-9999	-9999
1990	July	-9999	-9999
1990	Aug	-9999	-9999
1990	Sep	-9999	-9999
1990	Oct	-9999	-9999
1990	Nov	-9999	-9999
1990	Dec	-9999	-9999
1991	Jan	36.66 	-35.01
1991	Feb	36.66 	-35.04
1991	March	36.66 	-35.07
1991	April	36.68 	-33.04
1991	May	36.73 	-29.05
1991	June	36.81 	-25.96
1991	July	36.85 	-24.29
1991	Aug	36.94 	-24.83
1991	Sep	36.98 	-26.91
1991	Oct	37.04 	-32.08
1991	Nov	37.04 	-34.92
1991	Dec	37.04 	-35.00
1992	Jan	37.04 	-35.04
1992	Feb	37.04 	-35.07
1992	March	37.05 	-34.11
1992	April	37.12 	-33.52
1992	May	37.16 	-29.51
1992	June	37.22 	-26.42
1992	July	37.31 	-24.74
1992	Aug	37.36 	-25.28
1992	Sep	37.42 	-27.36
1992	Oct	37.45 	-32.53
1992	Nov	37.46 	-34.89
1992	Dec	37.46 	-34.97
1993	Jan	37.46 	-35.02
1993	Feb	37.46 	-35.04
1993	March	37.46 	-35.07
1993	April	37.51 	-34.09
1993	May	37.54 	-30.08
1993	June	37.58 	-26.99
1993	July	37.67 	-25.31
1993	Aug	37.70 	-25.85
1993	Sep	37.75 	-27.92
1993	Oct	37.78 	-33.10
1993	Nov	37.80 	-34.87
1993	Dec	37.80 	-34.96
1994	Jan	37.80 	-35.02
1994	Feb	37.80 	-35.06
1994	March	37.81 	-35.10
1994	April	37.87 	-33.17
1994	May	37.92 	-29.17
1994	June	38.00 	-26.08
1994	July	38.08 	-24.41
1994	Aug	38.14 	-24.97
1994	Sep	38.20 	-27.05
1994	Oct	38.22 	-32.22
1994	Nov	38.23 	-34.97
1994	Dec	38.23 	-35.06
1995	Jan	38.23 	-35.12
1995	Feb	38.23 	-35.15
1995	March	38.23 	-35.18
1995	April	38.28 	-33.98
1995	May	38.30 	-29.99
1995	June	38.37 	-26.89
1995	July	38.43 	-25.22
1995	Aug	38.50 	-25.76
1995	Sep	38.52 	-27.83
1995	Oct	38.57 	-33.00
1995	Nov	38.58 	-35.00
1995	Dec	38.58 	-35.08
1996	Jan	38.58 	-35.13
1996	Feb	38.58 	-35.16
1996	March	38.58 	-35.20
1996	April	38.61 	-33.84
1996	May	38.70 	-29.83
1996	June	38.74 	-26.74
1996	July	38.81 	-25.07
1996	Aug	38.87 	-25.63
1996	Sep	38.94 	-27.71
1996	Oct	38.95 	-32.88
1996	Nov	38.95 	-35.03
1996	Dec	38.95 	-35.11
1997	Jan	38.95 	-35.16
1997	Feb	38.95 	-35.18
1997	March	38.95 	-35.20
1997	April	39.01 	-35.23
1997	May	39.01 	-29.79
1997	June	39.08 	-26.68
1997	July	39.14 	-25.01
1997	Aug	39.19 	-25.55
1997	Sep	39.21 	-27.63
1997	Oct	39.26 	-32.81
1997	Nov	39.26 	-35.01
1997	Dec	39.26 	-35.10
1998	Jan	39.26 	-35.15
1998	Feb	39.26 	-35.19
1998	March	39.28 	-35.23
1998	April	39.32 	-33.48
1998	May	39.38 	-29.48
1998	June	39.44 	-26.41
1998	July	39.54 	-24.75
1998	Aug	39.60 	-25.31
1998	Sep	39.65 	-27.40
1998	Oct	39.69 	-32.57
1998	Nov	39.70 	-35.14
1998	Dec	39.70 	-35.23
1999	Jan	39.70 	-35.28
1999	Feb	39.70 	-35.31
1999	March	39.70 	-35.34
1999	April	39.74 	-35.37
1999	May	39.78 	-29.66
1999	June	39.83 	-26.56
1999	July	39.88 	-24.88
1999	Aug	39.96 	-25.41
1999	Sep	39.98 	-27.48
1999	Oct	40.03 	-32.64
1999	Nov	40.04 	-34.02
1999	Dec	40.04 	-35.17
2000	Jan	40.04 	-35.22
2000	Feb	40.04 	-35.25
2000	March	40.06 	-35.28
2000	April	40.09 	-33.36
2000	May	40.16 	-29.35
2000	June	40.23 	-26.25
2000	July	40.31 	-24.57
2000	Aug	40.34 	-25.12
2000	Sep	40.44 	-27.19
2000	Oct	40.44 	-32.36
2000	Nov	40.45 	-35.09
2000	Dec	40.45 	-35.17
2001	Jan	40.45 	-35.23
2001	Feb	40.45 	-35.26
2001	March	40.45 	-35.29
2001	April	40.51 	-35.33
2001	May	40.53 	-29.35
2001	June	40.60 	-26.26
2001	July	40.66 	-24.58
2001	Aug	40.73 	-25.13
2001	Sep	40.75 	-27.19
2001	Oct	40.80 	-32.37
2001	Nov	40.80 	-35.10
2001	Dec	40.80 	-35.19
2002	Jan	40.80 	-35.24
2002	Feb	40.80 	-35.28
2002	March	40.80 	-35.31
2002	April	40.83 	-33.37
2002	May	40.89 	-29.37
2002	June	40.91 	-26.27
2002	July	41.00 	-24.61
2002	Aug	41.04 	-25.16
2002	Sep	41.08 	-27.24
2002	Oct	41.12 	-32.42
2002	Nov	41.12 	-35.16
2002	Dec	41.12 	-35.26
2003	Jan	41.12 	-35.32
2003	Feb	41.12 	-35.36
2003	March	41.13 	-35.39
2003	April	41.18 	-33.88
2003	May	41.26 	-29.88
2003	June	41.30 	-26.78
2003	July	41.37 	-25.11
2003	Aug	41.44 	-25.65
2003	Sep	41.50 	-27.73
2003	Oct	41.50 	-32.90
2003	Nov	41.51 	-35.22
2003	Dec	41.51 	-35.30
2004	Jan	41.51 	-35.36
2004	Feb	41.51 	-35.39
2004	March	41.53 	-34.45
2004	April	41.55 	-33.86
2004	May	41.64 	-29.85
2004	June	41.67 	-26.75
2004	July	41.75 	-25.07
2004	Aug	41.82 	-25.62
2004	Sep	41.86 	-27.70
2004	Oct	41.90 	-32.87
2004	Nov	41.91 	-35.21
2004	Dec	41.91 	-35.30
2005	Jan	41.91 	-35.35
2005	Feb	41.91 	-35.39
2005	March	41.92 	-35.42
2005	April	41.99 	-34.12
2005	May	42.01 	-30.11
2005	June	42.12 	-27.03
2005	July	42.19 	-25.36
2005	Aug	42.24 	-25.91
2005	Sep	42.32 	-27.98
2005	Oct	42.33 	-33.16
2005	Nov	42.34 	-35.28
2005	Dec	42.34 	-35.38
2006	Jan	42.34 	-35.44
2006	Feb	42.34 	-35.47
2006	March	42.35 	-35.51
2006	April	42.41 	-34.10
2006	May	42.45 	-30.09
2006	June	42.50 	-27.00
2006	July	42.58 	-25.32
2006	Aug	42.62 	-25.86
2006	Sep	42.67 	-27.93
2006	Oct	42.69 	-33.09
2006	Nov	42.70 	-35.30
2006	Dec	42.70 	-35.39
2007	Jan	42.70 	-35.44
2007	Feb	42.70 	-35.47
2007	March	42.71 	-35.50
2007	April	42.75 	-34.02
2007	May	42.80 	-30.01
2007	June	42.84 	-26.92
2007	July	42.93 	-25.25
2007	Aug	42.96 	-25.79
2007	Sep	43.01 	-27.86
2007	Oct	43.03 	-33.04
2007	Nov	43.03 	-35.32
2007	Dec	43.03 	-35.41
2008	Jan	-9999	-9999
2008	Feb	-9999	-9999
2008	March	-9999	-9999
2008	April	-9999	-9999
2008	May	-9999	-9999
2008	June	-9999	-9999
2008	July	-9999	-9999
2008	Aug	-9999	-9999
2008	Sep	-9999	-9999
2008	Oct	-9999	-9999
2008	Nov	-9999	-9999
2008	Dec	-9999	-9999
2009	Jan	-9999	-9999
2009	Feb	-9999	-9999
2009	March	-9999	-9999
2009	April	-9999	-9999
2009	May	-9999	-9999
2009	June	-9999	-9999
2009	July	-9999	-9999
